#이름	속성	길이
A.I	Dancer	144
Always	dancer	100
Angel	dancer	124
Angel (Hard Expert)	dancer	127
Astral Supplication	dancer	121
Astro Fight	dancer	111
Bad Elixir	dancer	128
Beat U Down	dancer	91
Binary World	dancer	115
Black Water	dancer	140
Black Water (Hard Expert)	dancer	141
Brain Power	dancer	110
Cherokee	dancer	125
Child of Night	dancer	105
confict	dancer	136
confict (Hard Expert)	dancer	138
Cosmic Elevator	dancer	144
Cypher Gate	dancer	100
Delta Spike	dancer	115
Elastic Star	dancer	109
End Of Fight (Round 2)	dancer	131
End of the Moonlight	dancer	109
Fight Night	dancer	108
First Kiss	dancer	100
FTR	dancer	141
GAI∀PEX	dancer	116
Get Down	dancer	111
GET OUT	dancer	124
GET OUT ~Hip Noodle Mix~	dancer	137
Gient Step	dancer	141
Groovin'Up	dancer	122
Halcyon	dancer	155
HELIX	dancer	138
Here in the moment	dancer	95
Here in the moment (Hard Expert)	dancer	100
HEXAD	dancer	94
Kamigakari	dancer	127
KILLER BEE	dancer	125
Liar	dancer	130
Light House	dancer	117
Long Vacation	dancer	127
Loving U	dancer	114
Mulch	dancer	107
Nature Fortress	dancer	114
NB RANGER	dancer	118
Nephthys	dancer	113
Over The Rainbow	dancer	110
Placebo Dying	dancer	149
Placebo Dying (Easy)	dancer	144
Ray of Illuminati	dancer	130
Ready Now	dancer	94
Revival On	dancer	147
RockSTAR	dancer	113
Shoreline	dancer	89
SigNalize	dancer	107
Silent Clarity	dancer	123
Sinister Evolution	dancer	122
Soda Pop City	dancer	115
SON OF SUN	dancer	102
SON OF SUN (Hard Expert)	dancer	104
Space Corridor	dancer	102
Space of Soul	dancer	144
Splash Dreams	dancer	114
SQUEEZE	dancer	135
Stay with Me	dancer	121
STOP	dancer	124
Super Lovely	dancer	121
Tales of Princess Chocolate	dancer	140
Tales of Princess Chocolate (Easy)	dancer	136
The Feeling	dancer	123
The Sun Rising to Hope	dancer	118
The Sun Rising to Hope (Hard Expert)	dancer	120
Thor	dancer	108
Tok! Tok! Tok!	dancer	134
U.A.D	dancer	122
Uranium	dancer	134
ViViT	dancer	125
VORTEX	dancer	122
VORTEX (Easy)	dancer	117
Watch Your Step	dancer	94
WhiteBlue	dancer	111
너랑 있으면	dancer	123
혜성(comet)	dancer	149
A Song of Sixpence	vocal	89
Across Starlight	vocal	144
ASHITA NO ASHIOTO	vocal	158
Ayatorite mau	vocal	125
Burn It Down	vocal	101
Bye Bye Love ~Nu Jazz Mix~	vocal	135
Colours of Sorrow	vocal	95
Cosmic Fantasy Lovesong	vocal	110
Deborah 	vocal	121
EGG	vocal	119
Eternal Memory ~ 소녀의 꿈~	vocal	129
Fallen Angel	vocal	117
Fallen Angel (Hard Expert)	vocal	120
Fallin' In LUV	vocal	129
Feel	vocal	127
For the Ikarus	vocal	131
Give Me 5	vocal	116
GoodBye	vocal	113
Hello Pinky	vocal	128
I Want You	vocal	105
In My Heart	vocal	98
Jump to Summer	vocal	152
Ladymade Star	vocal	102
Leave me Alone	vocal	111
LENA Revolution	vocal	124
LET UP	vocal	131
Love☆Panic	vocal	127
Lover (BS Style)	vocal	86
Luv Flow	vocal	129
Luv is Ture	vocal	110
Mellow D Fantasy	vocal	133
Melody	vocal	99
Memoirs	vocal	131
My Jealousy	vocal	149
Never Say	vocal	122
One the Love	vocal	132
Only for you	vocal	136
Only for you (Hard Expert)	vocal	139
Over The Horizon	vocal	145
Private Party	vocal	133
Raise Me Up	vocal	123
RED	vocal	123
Remember	vocal	105
Rhythm	vocal	114
Running girl	vocal	105
Saturday	vocal	132
Secret	vocal	110
Secret Dejavu	vocal	122
Shadow Flower	vocal	115
Showtime	vocal	123
Silver Bullet	vocal	145
sO mUCH iN LUV	vocal	130
Someday	vocal	106
Streetlight	vocal	119
Sunny Side	vocal	148
Sweet Shining Shooting Star	vocal	96
Take On Me	vocal	122
The Clear Blue Sky	vocal	87
Trip	vocal	111
Twinkle Star	vocal	111
U-NIVUS	vocal	129
Visual Dream II (In Fiction)	vocal	148
Wake Up feat.a-m	vocal	130
Wintermute	vocal	135
Y (CE STYLE)	vocal	101
You & Me	vocal	102
Your Own Miracle	vocal	77
너를 꿈꾸며	vocal	124
바람에게 부탁해	vocal	107
바람의 기억	vocal	146
별 하늘 그대	vocal	160
별 하늘 그대 (Hard Expert)	vocal	164
별빛정원	vocal	114
비행	vocal	158
설레임	vocal	124
아침형 인간	vocal	134
유령	vocal	117
작은 꿈	vocal	154
징글벨	vocal	93
징글벨 (Hard Expert)	vocal	98
Bingo	session	108
Black Swan	session	109
BlythE	session	129
Boom!	session	90
Brandnew Days	session	142
BUCK WILD	session	115
Can We Talk (Broken Dog Leg Mix)	session	136
CANNON 2017	session	148
D2	session	111
Dear My Lady	session	92
Devil's Whispering	session	135
DIVINE SERVICE	session	122
Don't Die	session	124
Don't Die (Hard Expert)	session	126
Dream it	session	131
Driving Lazy Bee	session	89
Dual Strikers	session	106
Enemy Storm	session	122
Eternal Damnation	session	134
Fentanest	session	121
Festa Nova	session	121
Fly Away	session	128
Get On Top	session	126
Glory Day	session	131
Grid System	session	136
Haikai Kingyobachi no sokokara	session	130
Heaven's vengeance	session	136
HELIOS	session	129
Higher	session	105
Humming Bird	session	117
Jibun kanpai	session	126
Keys to the World	session	125
Korobeiniki	session	112
La Campabella : Nu Rave	session	108
Lemonade	session	133
Mess it Up	session	129
Midnight Blood	session	137
Miles	session	124
Miles (Hard Expert)	session	129
Mind Control	session	143
OBLIVION	session	118
OBLIVION (Easy)	session	117
Out Law	session	119
Persona	session	137
Rage of Demon	session	113
Rolling On the Duck	session	139
Runaway	session	124
Ruti'n	session	99
Ruti'n Electro Remix	session	115
Ruti'n Electro Remix (Easy)	session	113
SIN	session	114
StarFish	session	132
Sunset Rider	session	128
SuperSonic	session	104
The Party	session	125
Toys Festival	session	136
Urban Night	session	143
VERUM - oremus	session	133
Waiting for you	session	125
Weather Auction	session	113
Ya! Party!	session	97
고백 꽃 늑대 Part.2	session	95
고백 꽃 늑대 Part.2 (Hard Expert)	session	108
바람에게 부탁해 Live Mix	session	104
태권부리	session	119
피아노 협주곡 1번	session	120
